epoch,accuracy,loss
0,0.5193681120872498,1.3154282569885254
1,0.5339968204498291,1.2737354040145874
2,0.5388141870498657,1.261222004890442
3,0.5416763424873352,1.2533173561096191
4,0.543722927570343,1.2478505373001099
5,0.5453518629074097,1.2435837984085083
6,0.546782910823822,1.240159034729004
7,0.5482545495033264,1.2370918989181519
8,0.5488501787185669,1.2345722913742065
9,0.5498058199882507,1.2327932119369507
10,0.550503134727478,1.2307648658752441
11,0.5513948798179626,1.2292943000793457
12,0.5519747138023376,1.2276697158813477
13,0.5526534914970398,1.2264167070388794
14,0.5530423521995544,1.2251931428909302
15,0.5536249279975891,1.224077820777893
16,0.5538475513458252,1.2231347560882568
17,0.5540481805801392,1.2222881317138672
18,0.5547928810119629,1.221311092376709
19,0.5550539493560791,1.2206541299819946
20,0.5553837418556213,1.2197835445404053
21,0.5556344985961914,1.2188217639923096
22,0.5560755729675293,1.2183188199996948
23,0.55641770362854,1.2176836729049683
24,0.5562342405319214,1.2171574831008911
