epoch,accuracy,loss,val_accuracy,val_loss
0,0.36894547939300537,1.3304461240768433,0.4495677351951599,1.2682191133499146
1,0.6354829668998718,1.004486083984375,0.6628242135047913,0.9262430667877197
2,0.7982286214828491,0.5862106084823608,0.6887608170509338,0.7819842100143433
3,0.8522003889083862,0.4153839349746704,0.6916426420211792,0.7815670371055603
4,0.8865209221839905,0.32121434807777405,0.6974063515663147,0.8282633423805237
5,0.9130915999412537,0.2596287429332733,0.6945244669914246,0.8729308843612671
6,0.9277608394622803,0.2204330414533615,0.6829971075057983,0.9357233643531799
7,0.9424301385879517,0.18186229467391968,0.6916426420211792,1.004355788230896
8,0.9504566788673401,0.15836720168590546,0.7146974205970764,1.0162808895111084
9,0.9576529264450073,0.13769128918647766,0.7031700015068054,1.1041351556777954
10,0.9631884694099426,0.12046636641025543,0.7118155360221863,1.1568071842193604
11,0.9654027223587036,0.11295553296804428,0.6945244669914246,1.1913671493530273
12,0.9670633673667908,0.10423383861780167,0.6916426420211792,1.2043040990829468
13,0.9703847169876099,0.09228658676147461,0.6772334575653076,1.2559282779693604
14,0.9748131632804871,0.0836152508854866,0.6772334575653076,1.3126801252365112
15,0.975089967250824,0.08483204245567322,0.6974063515663147,1.3462449312210083
16,0.973429262638092,0.08278443664312363,0.7002881765365601,1.3828327655792236
17,0.976473867893219,0.0762304961681366,0.6945244669914246,1.3711925745010376
18,0.9767506122589111,0.07318653166294098,0.6887608170509338,1.4413809776306152
19,0.9753667116165161,0.06865362823009491,0.6858789920806885,1.485759973526001
20,0.9775809645652771,0.06821662187576294,0.6858789920806885,1.5090446472167969
21,0.9753667116165161,0.07189037650823593,0.6772334575653076,1.5497618913650513
22,0.9775809645652771,0.06283772736787796,0.6945244669914246,1.5640770196914673
23,0.9784113168716431,0.06657392531633377,0.6858789920806885,1.5579867362976074
24,0.9767506122589111,0.062272097915410995,0.6829971075057983,1.611311435699463
